key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,,,trials.thisRepN,trials.intensity,,,key_resp.corr,,trials.thisRepN,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,87,86,up,0.005,db,0.051105778,0.0012849,248.815276,248.815276,249.1145426,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,87,0.051105778,,,0,in,87,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,88,87,up,0.005,db,0.051135205,0.0011247,251.2794865,251.2794865,251.5789813,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,88,0.051135205,,2,0,in,88,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,89,88,up,0.005,db,0.051135205,0.0011734,254.3764841,254.3764841,254.6759044,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,89,0.051135205,,,1,cor,89,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,90,89,up,0.005,db,0.05116465,0.0011663,257.0406114,257.0406114,257.340131,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,90,0.05116465,,,0,in,90,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,91,90,up,0.005,db,0.051194111,0.0011796,259.5548715,259.5548715,259.854296,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,91,0.051194111,,,0,in,91,,,,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,92,91,up,0.005,db,0.051223589,0.0010573,261.969339,261.969339,262.2688776,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,92,0.051223589,,3,0,in,92,,,,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,93,92,up,0.005,db,0.051223589,0.0011639,264.4003446,264.4003446,264.700008,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,93,0.051223589,,,1,cor,93,,,0.051194111,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,94,93,up,0.005,db,0.051253084,0.0011237,267.0477995,267.0477995,267.3474686,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,94,0.051253084,,1,0,in,94,,,0.051223589,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,95,94,up,0.005,db,0.051253084,0.001131,269.4789458,269.4789458,269.7784986,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,95,0.051253084,,,1,cor,95,,,0.051223589,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,96,95,up,0.005,db,0.051253084,0.001187,272.1431289,272.1431289,272.4428019,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,96,0.051253084,,,1,cor,96,,,0.051253084,0.05123834,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,97,96,down,0.005,db,0.051223589,0.0011818,274.7240311,274.7240311,275.0237015,1,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,97,0.051223589,,,1,cor,97,,,0.051253084,,,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,98,97,down,0.005,db,0.051223589,0.0011816,277.2383628,277.2383628,277.5380127,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,98,0.051223589,,,1,cor,98,,,0.051253084,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,99,98,up,0.005,db,0.051253084,0.0011521,279.6695381,279.6695381,279.9689496,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,99,0.051253084,,,0,in,99,,,0.051223589,,,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,100,99,up,0.005,db,0.051282596,0.0011729,282.4503094,282.4503094,282.7497579,0,123456,1,2022-09-08_17h10.05.106,experiment 1 02.09.22,2022.2.2,60.05479399,,,100,0.051282596,,2,0,in,100,,,0.051223589,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051253084,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051282596,,,
