trials.thisN,num_distr,mouse.time,mouse.clicked_name,,,,,
150,5,1.530771372,['target'],,,,,
152,5,1.261497106,['target'],,,,,
153,5,1.634379292,['target'],,,,,
154,5,1.280466341,['target'],,,,,
160,5,1.319317814,['target'],,,,,
161,5,1.487064432,['target'],,,,,
164,5,1.039303066,['target'],,,,,
165,5,1.200644334,['target'],,,,,
166,5,1.283554059,['target'],,,,,
167,5,1.287778241,['target'],,,,,
170,5,1.508734453,['target'],,,,,
171,5,1.302625403,['target'],,,,,
173,5,1.54815928,['target'],,,,,
183,5,1.328906899,['target'],,,,,
184,5,1.54359305,['target'],,,,,
186,5,1.37000389,['target'],,,,,
187,5,1.140980077,['target'],,,,,
189,5,1.548796846,['target'],,,,,
190,5,0.909274015,['target'],,,,,
195,5,1.04677542,['target'],,,,,
199,5,1.449951703,['target'],,,,,
2,5,1.370782283,['target'],,,,,
4,5,1.158032977,['target'],,,,,
5,5,1.138623406,['target'],,,,,
7,5,1.314030749,['target'],,,,,
9,5,1.086274314,['target'],,,,,
11,5,1.025037714,['target'],,,,,
12,5,0.934174328,['target'],,,,,
14,5,1.447976583,['target'],,,,,
17,5,1.522677807,['target'],,,,,
19,5,1.195199644,['target'],,,,,
20,5,1.356682887,['target'],,,,,
24,5,1.145478169,['target'],,,,,
25,5,1.149488092,['target'],,,,,
26,5,1.718168708,['target'],,,,,
27,5,1.400952999,['target'],,,,,
28,5,1.600411908,['target'],,,,,
31,5,0.9623646,['target'],,,,,
34,5,1.02639375,['target'],,,,,
35,5,1.218004502,['target'],,,,,
36,5,1.215653718,['target'],,,,,
38,5,1.96582983,['target'],,,,,
39,5,1.928864821,['target'],,,,,
40,5,1.087822588,['target'],,,,,
42,5,1.364971212,['target'],,,,,
45,5,1.718555787,['target'],,,,,
46,5,1.478616369,['target'],,,,,
48,5,1.116187436,['target'],,,,,
56,5,1.379784661,['target'],,,,,
57,5,1.297931715,['target'],,,,,
59,5,1.313850859,['target'],,,,,
60,5,1.141131929,['target'],,,,,
62,5,1.384338075,['target'],,,,,
66,5,1.18084476,['target'],,,,,
67,5,1.297618668,['target'],,,,,
68,5,1.259152604,['target'],,,,,
70,5,1.096016068,['target'],,,,,
71,5,0.88748102,['target'],,,,,
74,5,1.420937722,['target'],,,,,
75,5,1.087579319,['target'],,,,,
76,5,1.110274247,['target'],,,,,
77,5,1.305509124,['target'],,,,,
78,5,1.248458912,['target'],,,,,
79,5,1.521657945,['target'],,,,,
82,5,0.889143222,['target'],,,,,
86,5,1.076340491,['target'],,,,,
89,5,1.289403915,['target'],,,,,
91,5,1.597976222,['target'],,,,,
92,5,1.27937858,['target'],,,,,
96,5,1.284054935,['target'],,,,,
98,5,1.078864587,['target'],,,,,
100,5,1.152019524,['target'],,,,,
101,5,1.00091985,['target'],,,,,
102,5,0.93195162,['target'],,,,,
104,5,1.546329543,['target'],,,,,
105,5,1.188362282,['target'],,,,,
112,5,1.253295954,['target'],,,,,
119,5,1.017714781,['target'],,,,,
123,5,1.150993213,['target'],,,,,
124,5,1.00528146,['target'],,,,,
128,5,1.691979064,['target'],,,,,
129,5,1.588192344,['target'],,,,,
133,5,1.044827532,['target'],,,,,
138,5,1.61043043,['target'],,,,,
141,5,1.649322381,['target'],,,,,
142,5,1.494587468,['target'],,,,,
145,5,1.131129294,['target'],,,,,
146,5,1.179453767,['target'],,,,,
148,5,1.105911053,['target'],,,,,
150,5,1.530771372,['target'],,,,,
152,5,1.261497106,['target'],,,,,
153,5,1.634379292,['target'],,,,,
154,5,1.280466341,['target'],,,,,
160,5,1.319317814,['target'],,,,,
161,5,1.487064432,['target'],,,,,
164,5,1.039303066,['target'],,,,,
165,5,1.200644334,['target'],,,,,
166,5,1.283554059,['target'],,,,,
167,5,1.287778241,['target'],,,,,
170,5,1.508734453,['target'],,,,,
171,5,1.302625403,['target'],,,,,
173,5,1.54815928,['target'],,,,,
183,5,1.328906899,['target'],,,,,
184,5,1.54359305,['target'],,,,,
186,5,1.37000389,['target'],,,,,
187,5,1.140980077,['target'],,,,,
189,5,1.548796846,['target'],,,,,
190,5,0.909274015,['target'],,,,,
195,5,1.04677542,['target'],,,,,
199,5,1.449951703,['target'],,,,,
3,5,1.5322766,['target'],,,,,
5,5,1.2839191,['target'],,,,,
6,5,1.8082169,['target'],,,,,
8,5,1.9613941,['target'],,,,,
10,5,1.7136723,['target'],,,,,
14,5,1.7196563,['target'],,,,,
15,5,1.0922365,['target'],,,,,
17,5,1.2803892,['target'],,,,,
18,5,1.0788733,['target'],,,,,
19,5,1.4091596,['target'],,,,,
22,5,1.3026961,['target'],,,,,
23,5,1.5473565,['target'],,,,,
24,5,1.121396,['target'],,,,,
28,5,1.6917273,['target'],,,,,
29,5,1.4539713,['target'],,,,,
34,5,1.8471128,['target'],,,,,
38,5,1.4336487,['target'],,,,,
39,5,1.4473509,['target'],,,,,
41,5,1.4592027,['target'],,,,,
42,5,1.5139965,['target'],,,,,
46,5,1.7135045,['target'],,,,,
48,5,1.9901276,['target'],,,,,
49,5,1.449392,['target'],,,,,
51,5,1.5432159,['target'],,,,,
56,5,1.3355315,['target'],,,,,
57,5,1.2671448,['target'],,,,,
65,5,1.559235,['target'],,,,,
66,5,1.2478838,['target'],,,,,
69,5,1.1807161,['target'],,,,,
73,5,1.0022171,['target'],,,,,
74,5,1.0406328,['target'],,,,,
76,5,1.2141202,['target'],,,,,
80,5,1.4241712,['target'],,,,,
81,5,0.9239594,['target'],,,,,
82,5,1.440752,['target'],,,,,
91,5,1.2649401,['target'],,,,,
93,5,0.9386243,['target'],,,,,
97,5,0.9393048,['target'],,,,,
98,5,0.861136,['target'],,,,,
101,5,1.3740029,['target'],,,,,
102,5,1.6451288,['target'],,,,,
103,5,1.4651093,['target'],,,,,
104,5,1.0936565,['target'],,,,,
105,5,1.2544782,['target'],,,,,
110,5,1.0101535,['target'],,,,,
111,5,1.4007201,['target'],,,,,
112,5,1.0679193,['target'],,,,,
114,5,1.5524774,['target'],,,,,
115,5,0.81615,['target'],,,,,
117,5,1.8132802,['target'],,,,,
119,5,1.5802363,['target'],,,,,
121,5,1.3250902,['target'],,,,,
125,5,1.3493673,['target'],,,,,
127,5,2.0958024,['target'],,,,,
128,5,1.4728534,['target'],,,,,
129,5,1.0408129,['target'],,,,,
130,5,1.1235313,['target'],,,,,
133,5,0.9375148,['target'],,,,,
135,5,1.1518997,['target'],,,,,
137,5,0.9416817,['target'],,,,,
139,5,1.0995985,['target'],,,,,
144,5,1.3405267,['target'],,,,,
145,5,1.1111922,['target'],,,,,
146,5,1.3003355,['target'],,,,,
148,5,1.2504189,['target'],,,,,
149,5,1.0104682,['target'],,,,,
155,5,1.0287706,['target'],,,,,
157,5,1.0996158,['target'],,,,,
158,5,1.0415056,['target'],,,,,
159,5,1.119203,['target'],,,,,
160,5,1.2132831,['target'],,,,,
164,5,1.4613173,['target'],,,,,
165,5,1.0808606,['target'],,,,,
168,5,1.213672,['target'],,,,,
175,5,1.2757717,['target'],,,,,
176,5,1.0726587,['target'],,,,,
177,5,1.1810945,['target'],,,,,
179,5,1.1755556,['target'],,,,,
180,5,1.0544956,['target'],,,,,
181,5,1.3687484,['target'],,,,,
184,5,1.121698,['target'],,,,,
185,5,0.9675887,['target'],,,,,
189,5,1.3390032,['target'],,,,,
190,5,1.0506599,['target'],,,,,
191,5,2.0778504,['target'],,,,,
194,5,2.8559681,['target'],,,,,
196,5,1.1316091,['target'],,,,,
197,5,1.2412057,['target'],,,,,
198,5,1.3746728,['target'],,,,,
199,5,1.147244,['target'],,,,,
10,5,0.9107266,['target'],,,,,
13,5,1.1804568,['target'],,,,,
18,5,1.1740226,['target'],,,,,
20,5,1.3240578,['target'],,,,,
23,5,1.7158619,['target'],,,,,
25,5,1.1043485,['target'],,,,,
26,5,1.5225907,['target'],,,,,
27,5,1.3682305,['target'],,,,,
28,5,1.5632103,['target'],,,,,
29,5,1.0061008,['target'],,,,,
35,5,1.1671617,['target'],,,,,
36,5,0.9902818,['target'],,,,,
42,5,1.0363001,['target'],,,,,
46,5,1.3214367,['target'],,,,,
48,5,1.0558318,['target'],,,,,
52,5,0.8749887,['target'],,,,,
55,5,1.1276758,['target'],,,,,
57,5,1.4997289,['target'],,,,,
60,5,1.139927,['target'],,,,,
64,5,1.1123943,['target'],,,,,
68,5,2.1399249,['target'],,,,,
71,5,0.8818585,['target'],,,,,
72,5,1.5686901,['target'],,,,,
73,5,0.8988088,['target'],,,,,
76,5,0.9715421,['target'],,,,,
77,5,0.9202567,['target'],,,,,
80,5,1.1776681,['target'],,,,,
82,5,0.9211392,['target'],,,,,
86,5,1.3890688,['target'],,,,,
89,5,0.982242,['target'],,,,,
90,5,1.3854544,['target'],,,,,
91,5,1.2938321,['target'],,,,,
